full_text,Case Folding,cleaning,Tokenize,Negation_Handling,Negation_Changes,text_clean,translated_text,subjektivitas,polaritas,sentimen,sentiment
Presiden berfungsi sebagai kepala pemerintahan dan kepala negara. Salah satu tanda2nya  presiden sbg kepala pemerintahan melantik dan mengambil sumpah pejabat di bawahnya (eksekutif) dan presiden sbg kepala negara menghadiri pelantikan dan pengambilan sumpah jabatan pejabat.,presiden berfungsi sebagai kepala pemerintahan dan kepala negara. salah satu tanda2nya  presiden sbg kepala pemerintahan melantik dan mengambil sumpah pejabat di bawahnya (eksekutif) dan presiden sbg kepala negara menghadiri pelantikan dan pengambilan sumpah jabatan pejabat.,presiden berfungsi sebagai kepala pemerintahan dan kepala negara salah satu tanda nya presiden sbg kepala pemerintahan melantik dan mengambil sumpah pejabat di bawahnya eksekutif dan presiden sbg kepala negara menghadiri pelantikan dan pengambilan sumpah jabatan pejabat,"['presiden', 'berfungsi', 'sebagai', 'kepala', 'pemerintahan', 'dan', 'kepala', 'negara', 'salah', 'satu', 'tanda', 'nya', 'presiden', 'sbg', 'kepala', 'pemerintahan', 'melantik', 'dan', 'mengambil', 'sumpah', 'pejabat', 'di', 'bawahnya', 'eksekutif', 'dan', 'presiden', 'sbg', 'kepala', 'negara', 'menghadiri', 'pelantikan', 'dan', 'pengambilan', 'sumpah', 'jabatan', 'pejabat']","['presiden', 'berfungsi', 'sebagai', 'kepala', 'pemerintahan', 'dan', 'kepala', 'negara', 'salah', 'satu', 'tanda', 'nya', 'presiden', 'sbg', 'kepala', 'pemerintahan', 'melantik', 'dan', 'mengambil', 'sumpah', 'pejabat', 'di', 'bawahnya', 'eksekutif', 'dan', 'presiden', 'sbg', 'kepala', 'negara', 'menghadiri', 'pelantikan', 'dan', 'pengambilan', 'sumpah', 'jabatan', 'pejabat']",,presiden berfungsi sebagai kepala pemerintahan dan kepala negara salah satu tanda nya presiden sbg kepala pemerintahan melantik dan mengambil sumpah pejabat di bawahnya eksekutif dan presiden sbg kepala negara menghadiri pelantikan dan pengambilan sumpah jabatan pejabat,"the president functions as the head of government and head of state, one of the signs is that the president as head of government appoints and takes the oath of office under him, the executive and the president as head of state attend the appointment and swearing of office positions",0.0,0.0,netral,2
Analisanya dalam waktu dekat menuju pelantikan Presiden baru akan ada eskalasi show of power dari masing2 lembaga2 negara saling menekan satu sama lain. tukeran jabatan di kabinet akan terjadi. ,analisanya dalam waktu dekat menuju pelantikan presiden baru akan ada eskalasi show of power dari masing2 lembaga2 negara saling menekan satu sama lain. tukeran jabatan di kabinet akan terjadi. ,analisanya dalam waktu dekat menuju pelantikan presiden baru akan ada eskalasi show of power dari masing lembaga negara saling menekan satu sama lain tukeran jabatan di kabinet akan terjadi,"['analisanya', 'dalam', 'waktu', 'dekat', 'menuju', 'pelantikan', 'presiden', 'baru', 'akan', 'ada', 'eskalasi', 'show', 'of', 'power', 'dari', 'masing', 'lembaga', 'negara', 'saling', 'menekan', 'satu', 'sama', 'lain', 'tukeran', 'jabatan', 'di', 'kabinet', 'akan', 'terjadi']","['analisanya', 'dalam', 'waktu', 'dekat', 'menuju', 'pelantikan', 'presiden', 'baru', 'akan', 'ada', 'eskalasi', 'show', 'of', 'power', 'dari', 'masing', 'lembaga', 'negara', 'saling', 'menekan', 'satu', 'sama', 'lain', 'tukeran', 'jabatan', 'di', 'kabinet', 'akan', 'terjadi']",,analisanya dalam waktu dekat menuju pelantikan presiden baru akan ada eskalasi show of power dari masing lembaga negara saling menekan satu sama lain tukeran jabatan di kabinet akan terjadi,the analysis is that in the near future leading up to the inauguration of the new president there will be an escalation in the show of power from each state institution pressuring each other to exchange positions in the cabinet will occur,0.3386363636363636,0.02784090909090909,positif,1
 Penasaran PSI dapet posisi apa habis pelantikan presiden baru  , penasaran psi dapet posisi apa habis pelantikan presiden baru  ,penasaran psi dapet posisi apa habis pelantikan presiden baru,"['penasaran', 'psi', 'dapet', 'posisi', 'apa', 'habis', 'pelantikan', 'presiden', 'baru']","['penasaran', 'psi', 'dapet', 'posisi', 'apa', 'habis', 'pelantikan', 'presiden', 'baru']",,penasaran psi dapet posisi apa habis pelantikan presiden baru,I wonder what position Psi will get after the new president is inaugurated,0.45454545454545453,0.13636363636363635,positif,1
 Format ulang negeri ini!!! Lengserkan sebelum pelantikan dan bentuk pemerintahan darurat angkat pa Gatot N jadi presiden semntara untuk adakan perbaikan dan pemungutan suara ulang , format ulang negeri ini!!! lengserkan sebelum pelantikan dan bentuk pemerintahan darurat angkat pa gatot n jadi presiden semntara untuk adakan perbaikan dan pemungutan suara ulang ,format ulang negeri ini! lengserkan sebelum pelantikan dan bentuk pemerintahan darurat angkat pa gatot jadi presiden semntara untuk adakan perbaikan dan pemungutan suara ulang,"['format', 'ulang', 'negeri', 'ini', '!', 'lengserkan', 'sebelum', 'pelantikan', 'dan', 'bentuk', 'pemerintahan', 'darurat', 'angkat', 'pa', 'gatot', 'jadi', 'presiden', 'semntara', 'untuk', 'adakan', 'perbaikan', 'dan', 'pemungutan', 'suara', 'ulang']","['format', 'ulang', 'negeri', 'ini', '!', 'lengserkan', 'sebelum', 'pelantikan', 'dan', 'bentuk', 'pemerintahan', 'darurat', 'angkat', 'pa', 'gatot', 'jadi', 'presiden', 'semntara', 'untuk', 'adakan', 'perbaikan', 'dan', 'pemungutan', 'suara', 'ulang']",,format ulang negeri ini ! lengserkan sebelum pelantikan dan bentuk pemerintahan darurat angkat pa gatot jadi presiden semntara untuk adakan perbaikan dan pemungutan suara ulang,reformat this country! depose before inauguration and form an emergency government appoint Gatot as interim president to carry out repairs and re-vote,0.0,0.0,netral,2
gue cuma berharap tes cpns tahun ini diundur sampe pelantikan presiden baru bila perlu diundur desember aja  ,gue cuma berharap tes cpns tahun ini diundur sampe pelantikan presiden baru bila perlu diundur desember aja  ,gue cuma berharap tes cpns tahun ini diundur sampe pelantikan presiden baru bila perlu diundur desember aja,"['gue', 'cuma', 'berharap', 'tes', 'cpns', 'tahun', 'ini', 'diundur', 'sampe', 'pelantikan', 'presiden', 'baru', 'bila', 'perlu', 'diundur', 'desember', 'aja']","['gue', 'cuma', 'berharap', 'tes', 'cpns', 'tahun', 'ini', 'diundur', 'sampe', 'pelantikan', 'presiden', 'baru', 'bila', 'perlu', 'diundur', 'desember', 'aja']",,gue cuma berharap tes cpns tahun ini diundur sampe pelantikan presiden baru bila perlu diundur desember aja,"I just hope that this year's cpns test will be postponed until the inauguration of the new president, if necessary it will be postponed to December",0.7272727272727273,0.06818181818181818,positif,1
Pada 25 Mei 1946 pukul 11.00 pagi bertempat di Gedung Agung dilangsungkan upacara pelantikan pembesar-pembesar tentara dan Kementerian Pertahanan untuk pertama kalinya sejak Indonesia merdeka oleh Presiden Soekarno,pada 25 mei 1946 pukul 11.00 pagi bertempat di gedung agung dilangsungkan upacara pelantikan pembesar-pembesar tentara dan kementerian pertahanan untuk pertama kalinya sejak indonesia merdeka oleh presiden soekarno,pada mei pukul pagi bertempat di gedung agung dilangsungkan upacara pelantikan pembesar pembesar tentara dan kementerian pertahanan untuk pertama kalinya sejak indonesia merdeka oleh presiden soekarno,"['pada', 'mei', 'pukul', 'pagi', 'bertempat', 'di', 'gedung', 'agung', 'dilangsungkan', 'upacara', 'pelantikan', 'pembesar', 'pembesar', 'tentara', 'dan', 'kementerian', 'pertahanan', 'untuk', 'pertama', 'kalinya', 'sejak', 'indonesia', 'merdeka', 'oleh', 'presiden', 'soekarno']","['pada', 'mei', 'pukul', 'pagi', 'bertempat', 'di', 'gedung', 'agung', 'dilangsungkan', 'upacara', 'pelantikan', 'pembesar', 'pembesar', 'tentara', 'dan', 'kementerian', 'pertahanan', 'untuk', 'pertama', 'kalinya', 'sejak', 'indonesia', 'merdeka', 'oleh', 'presiden', 'soekarno']",,pada mei pukul pagi bertempat di gedung agung dilangsungkan upacara pelantikan pembesar pembesar tentara dan kementerian pertahanan untuk pertama kalinya sejak indonesia merdeka oleh presiden soekarno,"in May at morning at the grand building, the inauguration ceremony for the military and defense ministry officials was held for the first time since Indonesia's independence by President Soekarno.",0.4777777777777778,0.21666666666666667,positif,1
 Setelah pelantikan presiden terpilih bisa jadi semuanya meroket... Bagaimana ? , setelah pelantikan presiden terpilih bisa jadi semuanya meroket... bagaimana ? ,setelah pelantikan presiden terpilih bisa jadi semuanya meroket bagaimana ?,"['setelah', 'pelantikan', 'presiden', 'terpilih', 'bisa', 'jadi', 'semuanya', 'meroket', 'bagaimana', '?']","['setelah', 'pelantikan', 'presiden', 'terpilih', 'bisa', 'jadi', 'semuanya', 'meroket', 'bagaimana', '?']",,setelah pelantikan presiden terpilih bisa jadi semuanya meroket bagaimana ?,"After the inauguration of the elected president, how could everything skyrocket?",0.0,0.0,netral,2
 Setelah pelantikan presiden bakal bnyk lg tarif yg akan naik  , setelah pelantikan presiden bakal bnyk lg tarif yg akan naik  ,setelah pelantikan presiden bakal bnyk lg tarif yg akan naik,"['setelah', 'pelantikan', 'presiden', 'bakal', 'bnyk', 'lg', 'tarif', 'yg', 'akan', 'naik']","['setelah', 'pelantikan', 'presiden', 'bakal', 'bnyk', 'lg', 'tarif', 'yg', 'akan', 'naik']",,setelah pelantikan presiden bakal bnyk lg tarif yg akan naik,"after the inauguration of the president, there will be more tariffs that will go up",0.5,0.5,positif,1
 Sepertinya mas elon masih liat nanti setelah pelantikan presiden bpk yg satu ini masih bakal cawe lagi ngga apapun posisinya nanti , sepertinya mas elon masih liat nanti setelah pelantikan presiden bpk yg satu ini masih bakal cawe lagi ngga apapun posisinya nanti ,sepertinya mas elon masih liat nanti setelah pelantikan presiden bpk yg satu ini masih bakal cawe lagi ngga apapun posisinya nanti,"['sepertinya', 'mas', 'elon', 'masih', 'liat', 'nanti', 'setelah', 'pelantikan', 'presiden', 'bpk', 'yg', 'satu', 'ini', 'masih', 'bakal', 'cawe', 'lagi', 'ngga', 'apapun', 'posisinya', 'nanti']","['sepertinya', 'mas', 'elon', 'masih', 'liat', 'nanti', 'setelah', 'pelantikan', 'presiden', 'bpk', 'yg', 'satu', 'ini', 'masih', 'bakal', 'cawe', 'lagi', 'ngga', 'apapun', 'posisinya', 'nanti']",,sepertinya mas elon masih liat nanti setelah pelantikan presiden bpk yg satu ini masih bakal cawe lagi ngga apapun posisinya nanti,"Looks like Mr Elon is still looking after the inauguration of the president, this Mr Elon will still be a girlfriend again, whatever his position in the future",0.125,0.0,netral,2
 Pendaftaran mahasiswa baru sebelum pelantikan presiden yg baru. Jadi pasti banyak calon mahasiswa baru yg mengundurkan diri atau tidak mampu. , pendaftaran mahasiswa baru sebelum pelantikan presiden yg baru. jadi pasti banyak calon mahasiswa baru yg mengundurkan diri atau tidak mampu. ,pendaftaran mahasiswa baru sebelum pelantikan presiden yg baru jadi pasti banyak calon mahasiswa baru yg mengundurkan diri atau tidak mampu,"['pendaftaran', 'mahasiswa', 'baru', 'sebelum', 'pelantikan', 'presiden', 'yg', 'baru', 'jadi', 'pasti', 'banyak', 'calon', 'mahasiswa', 'baru', 'yg', 'mengundurkan', 'diri', 'atau', 'tidak', 'mampu']","['pendaftaran', 'mahasiswa', 'baru', 'sebelum', 'pelantikan', 'presiden', 'yg', 'baru', 'jadi', 'pasti', 'banyak', 'calon', 'mahasiswa', 'baru', 'yg', 'mengundurkan', 'diri', 'atau', 'tidak_mampu']","[(['tidak', 'mampu'], 'tidak_mampu')]",pendaftaran mahasiswa baru sebelum pelantikan presiden yg baru jadi pasti banyak calon mahasiswa baru yg mengundurkan diri atau tidak_mampu,registering new students before the inauguration of the new president so there are bound to be many prospective new students who have withdrawn or are unable to do so,0.4727272727272728,0.08181818181818182,positif,1
kata jokowi di pelantikan Priode ke 2. Tidak ada visi misi mentri Yang ada visi misi Presiden. ,kata jokowi di pelantikan priode ke 2. tidak ada visi misi mentri yang ada visi misi presiden. ,kata jokowi di pelantikan priode ke tidak ada visi misi mentri yang ada visi misi presiden,"['kata', 'jokowi', 'di', 'pelantikan', 'priode', 'ke', 'tidak', 'ada', 'visi', 'misi', 'mentri', 'yang', 'ada', 'visi', 'misi', 'presiden']","['kata', 'jokowi', 'di', 'pelantikan', 'priode', 'ke', 'tidak_ada', 'visi', 'misi', 'mentri', 'yang', 'ada', 'visi', 'misi', 'presiden']","[(['tidak', 'ada'], 'tidak_ada'), (['ada', 'visi'], 'visi'), (['visi', 'misi'], 'misi'), (['misi', 'mentri'], 'mentri'), (['mentri', 'yang'], 'yang'), (['yang', 'ada'], 'ada'), (['ada', 'visi'], 'visi'), (['visi', 'misi'], 'misi'), (['misi', 'presiden'], 'presiden')]",kata jokowi di pelantikan priode ke tidak_ada visi misi mentri yang ada visi misi presiden,Jokowi said at the inauguration of the second period that there was no ministerial vision and mission but the president's vision and mission,0.0,0.0,netral,2
Jelang Pelantikan Presiden Baru Demokrat Harap Transisi Pemerintahan Jokowi ke Prabowo Berjalan Baik Kita berharap pergantian kekuasaan antara Presiden Jokowi dan Presiden terpilih Prabowo Subianto terjadi secara halus,jelang pelantikan presiden baru demokrat harap transisi pemerintahan jokowi ke prabowo berjalan baik kita berharap pergantian kekuasaan antara presiden jokowi dan presiden terpilih prabowo subianto terjadi secara halus,jelang pelantikan presiden baru demokrat harap transisi pemerintahan jokowi ke prabowo berjalan baik kita berharap pergantian kekuasaan antara presiden jokowi dan presiden terpilih prabowo subianto terjadi secara halus,"['jelang', 'pelantikan', 'presiden', 'baru', 'demokrat', 'harap', 'transisi', 'pemerintahan', 'jokowi', 'ke', 'prabowo', 'berjalan', 'baik', 'kita', 'berharap', 'pergantian', 'kekuasaan', 'antara', 'presiden', 'jokowi', 'dan', 'presiden', 'terpilih', 'prabowo', 'subianto', 'terjadi', 'secara', 'halus']","['jelang', 'pelantikan', 'presiden', 'baru', 'demokrat', 'harap', 'transisi', 'pemerintahan', 'jokowi', 'ke', 'prabowo', 'berjalan', 'baik', 'kita', 'berharap', 'pergantian', 'kekuasaan', 'antara', 'presiden', 'jokowi', 'dan', 'presiden', 'terpilih', 'prabowo', 'subianto', 'terjadi', 'secara', 'halus']",,jelang pelantikan presiden baru demokrat harap transisi pemerintahan jokowi ke prabowo berjalan baik kita berharap pergantian kekuasaan antara presiden jokowi dan presiden terpilih prabowo subianto terjadi secara halus,"ahead of the inauguration of the new democratic president, we hope that the transition from Jokowi to Prabowo's government will go well. We hope that the change of power between President Jokowi and President-elect Prabowo Subianto will occur smoothly.",0.4772727272727273,0.2681818181818182,positif,1
 Banyak2 makan bergiji mbak apalagi menjelang hari pelantikan presiden RI supaya ada tenaga mbak untuk meyimpan rasa benci , banyak2 makan bergiji mbak apalagi menjelang hari pelantikan presiden ri supaya ada tenaga mbak untuk meyimpan rasa benci ,banyak makan bergiji mbak apalagi menjelang hari pelantikan presiden ri supaya ada tenaga mbak untuk meyimpan rasa benci,"['banyak', 'makan', 'bergiji', 'mbak', 'apalagi', 'menjelang', 'hari', 'pelantikan', 'presiden', 'ri', 'supaya', 'ada', 'tenaga', 'mbak', 'untuk', 'meyimpan', 'rasa', 'benci']","['banyak', 'makan', 'bergiji', 'mbak', 'apalagi', 'menjelang', 'hari', 'pelantikan', 'presiden', 'ri', 'supaya', 'ada', 'tenaga', 'mbak', 'untuk', 'meyimpan', 'rasa', 'benci']",,banyak makan bergiji mbak apalagi menjelang hari pelantikan presiden ri supaya ada tenaga mbak untuk meyimpan rasa benci,"eat a lot, miss, especially in the run-up to the presidential inauguration day, so that you have the energy to hold back your hatred",0.5,0.0,netral,2
setelah pelantikan presiden nanti bakal non job. ,setelah pelantikan presiden nanti bakal non job. ,setelah pelantikan presiden nanti bakal non job,"['setelah', 'pelantikan', 'presiden', 'nanti', 'bakal', 'non', 'job']","['setelah', 'pelantikan', 'presiden', 'nanti', 'bakal', 'non', 'job']",,setelah pelantikan presiden nanti bakal non job,"After the presidential inauguration, he will be unemployed",0.0,0.0,netral,2
Mumpung dah terpilih dan nunggu pelantikan apa salahnya ngomong ke nadiem atau ke presiden jgn ada kenaikan UKT ga usah takut dipecat dari jabatan menhan krn menentang kebijakan presiden demi nasib anak2 yg makan siang gratis nantinya... ,mumpung dah terpilih dan nunggu pelantikan apa salahnya ngomong ke nadiem atau ke presiden jgn ada kenaikan ukt ga usah takut dipecat dari jabatan menhan krn menentang kebijakan presiden demi nasib anak2 yg makan siang gratis nantinya... ,mumpung dah terpilih dan nunggu pelantikan apa salahnya ngomong ke nadiem atau ke presiden jgn ada kenaikan ukt ga usah takut dipecat dari jabatan menhan krn menentang kebijakan presiden demi nasib anak yg makan siang gratis nantinya,"['mumpung', 'dah', 'terpilih', 'dan', 'nunggu', 'pelantikan', 'apa', 'salahnya', 'ngomong', 'ke', 'nadiem', 'atau', 'ke', 'presiden', 'jgn', 'ada', 'kenaikan', 'ukt', 'ga', 'usah', 'takut', 'dipecat', 'dari', 'jabatan', 'menhan', 'krn', 'menentang', 'kebijakan', 'presiden', 'demi', 'nasib', 'anak', 'yg', 'makan', 'siang', 'gratis', 'nantinya']","['mumpung', 'dah', 'terpilih', 'dan', 'nunggu', 'pelantikan', 'apa', 'salahnya', 'ngomong', 'ke', 'nadiem', 'atau', 'ke', 'presiden', 'jgn', 'ada', 'kenaikan', 'ukt', 'ga_usah', 'takut', 'dipecat', 'dari', 'jabatan', 'menhan', 'krn', 'menentang', 'kebijakan', 'presiden', 'demi', 'nasib', 'anak', 'yg', 'makan', 'siang', 'gratis', 'nantinya']","[(['ga', 'usah'], 'ga_usah'), (['usah', 'takut'], 'takut'), (['takut', 'dipecat'], 'dipecat'), (['dipecat', 'dari'], 'dari'), (['dari', 'jabatan'], 'jabatan'), (['jabatan', 'menhan'], 'menhan'), (['menhan', 'krn'], 'krn'), (['krn', 'menentang'], 'menentang'), (['menentang', 'kebijakan'], 'kebijakan'), (['kebijakan', 'presiden'], 'presiden'), (['presiden', 'demi'], 'demi'), (['demi', 'nasib'], 'nasib'), (['nasib', 'anak'], 'anak'), (['anak', 'yg'], 'yg'), (['yg', 'makan'], 'makan'), (['makan', 'siang'], 'siang'), (['siang', 'gratis'], 'gratis'), (['gratis', 'nantinya'], 'nantinya')]",mumpung dah terpilih dan nunggu pelantikan apa salahnya ngomong ke nadiem atau ke presiden jgn ada kenaikan ukt ga_usah takut dipecat dari jabatan menhan krn menentang kebijakan presiden demi nasib anak yg makan siang gratis nantinya,"While you've been elected and are waiting for the inauguration, what's the harm in talking to Nadiem or the president? Don't get an increase so you don't have to worry about being fired from the position of Minister of Defense because you oppose the President's policy for the fate of children who eat free lunches in the future.",0.4625,0.2,positif,1
semoga pak anies juga diberi kesehatan utk menghadiri pelantikan pak prabowo sebagai presiden,semoga pak anies juga diberi kesehatan utk menghadiri pelantikan pak prabowo sebagai presiden,semoga pak anies juga diberi kesehatan utk menghadiri pelantikan pak prabowo sebagai presiden,"['semoga', 'pak', 'anies', 'juga', 'diberi', 'kesehatan', 'utk', 'menghadiri', 'pelantikan', 'pak', 'prabowo', 'sebagai', 'presiden']","['semoga', 'pak', 'anies', 'juga', 'diberi', 'kesehatan', 'utk', 'menghadiri', 'pelantikan', 'pak', 'prabowo', 'sebagai', 'presiden']",,semoga pak anies juga diberi kesehatan utk menghadiri pelantikan pak prabowo sebagai presiden,I hope Mr Anies will also be given the health to attend Mr Prabowo's inauguration as president,0.0,0.0,netral,2
 Tinggal tunggu tgl mainnya pelantikan Presiden Prabowo. Nanti pak jkw jadi dewan pembina atau ketum gerindra , tinggal tunggu tgl mainnya pelantikan presiden prabowo. nanti pak jkw jadi dewan pembina atau ketum gerindra ,tinggal tunggu tgl mainnya pelantikan presiden prabowo nanti pak jkw jadi dewan pembina atau ketum gerindra,"['tinggal', 'tunggu', 'tgl', 'mainnya', 'pelantikan', 'presiden', 'prabowo', 'nanti', 'pak', 'jkw', 'jadi', 'dewan', 'pembina', 'atau', 'ketum', 'gerindra']","['tinggal', 'tunggu', 'tgl', 'mainnya', 'pelantikan', 'presiden', 'prabowo', 'nanti', 'pak', 'jkw', 'jadi', 'dewan', 'pembina', 'atau', 'ketum', 'gerindra']",,tinggal tunggu tgl mainnya pelantikan presiden prabowo nanti pak jkw jadi dewan pembina atau ketum gerindra,"Just wait for the date of President Prabowo's inauguration, then Mr JKW will be on the board of trustees or chairman of Gerindra",0.0,0.0,netral,2
